DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,DSTFlag
07/25/2020,1:00,12911.0996,1788.4301,3915.1299,1063.8101,15900.7002,8495.8701,4015.99,1633.41,49724.44,N
07/25/2020,2:00,12480.7998,1643.08,3838.8899,1018.46,14940.5996,7909.5098,3782.8899,1483.23,47097.459,N
07/25/2020,3:00,12031.5,1589.14,3795.8301,981.714,14000.2002,7495.5498,3569.3799,1388.6801,44851.9941,N
07/25/2020,4:00,11798.2998,1557.92,3735.1499,963.538,13179,6999.5298,3439.4399,1406.24,43079.1174,N
07/25/2020,5:00,11677.5,1506.8199,3679.6299,910.746,12853.5,6765.1899,3436.1899,1275.6801,42105.2557,N
07/25/2020,6:00,11630.0996,1514.72,3647.3501,891.352,12728.2002,6684.6001,3377.77,1239.6,41713.692,N
07/25/2020,7:00,11663.7998,1515.88,3633.99,874.435,12582.4004,6709.3198,3425.48,1219.95,41625.255,N
07/25/2020,8:00,11909,1567.35,3631.5901,872.004,13059.7002,6900.48,3457.3301,1260.24,42657.6944,N
07/25/2020,9:00,12060.0996,1631.17,3701.45,962.231,13868.5,7217.02,3633.48,1194.3101,44268.2607,N
07/25/2020,10:00,12071.7998,1703.08,3786.3501,1106.92,14230.5996,7653.7202,3672.6001,1318.71,45543.7798,N
07/25/2020,11:00,12477.5,1881.3199,3863.5701,1190.51,15711.9004,8489.4199,3865.6899,1407.74,48887.6502,N
07/25/2020,12:00,12448.7998,1934.4,3953.8701,1214.7,16600.1992,8977.1504,3814.1499,1522.49,50465.7594,N
07/25/2020,13:00,13379.2002,1905.58,4059.52,1224.9399,17890.6992,9200.9404,4062.5601,1561.92,53285.3598,N
07/25/2020,14:00,14591.7002,2218.9199,4154.1299,1289.77,18263.1992,9364.5,4208.9199,1601.2,55692.3391,N
07/25/2020,15:00,14504.5,2219.51,4233.8799,1305.46,19098.1992,9228.3604,3921.6899,1721.88,56233.4794,N
07/25/2020,16:00,14563.5996,2273.9399,4279.5698,1389.53,19392.4004,8782.1904,3989.8401,1777.5601,56448.6303,N
